geo,country,year,house_price_index,inflation,earning,price_to_income_ratio,real_hpi,price_to_real_income_ratio,hpi_growth,income_growth,region
BE,Belgium,2014,98.35,0.982328322776708,26775.94,0.0,97.39327824333498,1.01,-0.5561172901921263,0.6259825016526221,West Europe
BG,Bulgaria,2014,97.29,0.461057138152471,4033.73,0.02,96.84349614817243,1.0,1.4282735613010855,6.205009926120186,East Europe
DE,Germany,2014,95.5,1.8698183101076,27791.42,0.0,93.74709956709957,1.02,3.1317494600431983,2.283315090857818,West Europe
EE,Estonia,2014,93.58,2.9491677163469,9914.95,0.01,90.89922927579025,1.03,13.719771539676739,4.967868977418299,
ES,Spain,2014,96.54,-0.220708474202188,20169.47,0.0,96.75354326908577,1.0,0.31172069825438076,0.5362406034526312,South Europe
FI,Finland,2014,100.0,1.63174255646553,29641.38,0.0,98.39445579164507,1.02,-0.34877927254608476,-0.0430631125828973,North Europe
FR,France,2014,101.36,0.577313781103532,26578.46,0.0,100.77819360000001,1.01,-1.525308462061603,1.1775033366147492,West Europe
HU,Hungary,2014,88.43,3.70607233076456,6478.42,0.01,85.26983812284163,1.04,4.194650642158604,0.05158237427183021,East Europe
IE,Ireland,2014,89.72,0.0386659154431629,31687.39,0.0,89.68532234909556,1.0,16.534614885050015,0.49509566373455716,
IS,Iceland,2014,92.39,4.14177002683867,32941.08,0.0,88.71560371615531,1.04,8.426241051519789,13.204644881042803,North Europe
IT,Italy,2014,104.0,0.913628030148698,20930.61,0.0,103.05842930246173,1.01,-4.674610449129235,1.326500973054623,South Europe
LT,Lithuania,2014,96.47,0.833417414993449,6284.47,0.02,95.6726474943964,1.01,6.420297848869261,5.5346110507498825,
LU,Luxembourg,2014,94.88,2.73532587806798,38443.48,0.0,92.35382200725083,1.03,4.389921883595549,1.72380306742006,
LV,Latvia,2014,103.48,1.91711851278079,6264.34,0.02,101.53348280448415,1.02,6.0028682646998455,8.43811884615917,
MT,Malta,2014,94.51,2.342729170254,16010.0,0.01,92.3465699676391,1.02,2.549913194444464,-1.8152827180179076,
NL,Netherlands,2014,96.53,0.25257117455699,33723.85,0.0,96.28680727990971,1.0,0.8146214099216786,2.217738330034069,West Europe
NO,Norway,2014,93.74,0.290530617457389,45903.97,0.0,93.4684455480215,1.0,2.7400263042525186,-3.5549633488031196,North Europe
PL,Poland,2014,98.5,0.521716182336756,7991.17,0.01,97.98877669510779,1.01,0.9842116054951777,7.030857608190488,East Europe
PT,Portugal,2014,97.04,0.704343100781682,11663.77,0.01,96.36128593072245,1.01,4.243205500053704,-0.5586863666203312,South Europe
SE,Sweden,2014,88.4,1.74431116698947,33923.28,0.0,86.88446458191858,1.02,9.419482609233821,-1.5958952747390565,North Europe
SI,Slovenia,2014,99.2,0.455651533218935,11980.57,0.01,98.75004391086577,1.0,-6.600131814330091,1.3226287150567728,
AT,Austria,2015,100.0,2.30074372640689,28524.14,0.0,97.75099999999999,1.02,4.898772684359587,1.998187756701686,West Europe
BE,Belgium,2015,100.0,1.33046905874128,26953.59,0.0,98.687,1.01,1.6776817488561413,0.6634687708442888,West Europe
BG,Bulgaria,2015,100.0,2.44222258646124,4339.15,0.02,97.616,1.02,2.7854866892794705,7.571652044137789,East Europe
DE,Germany,2015,100.0,1.85892538833716,28410.71,0.0,98.175,1.02,4.712041884816753,2.2283496129380964,West Europe
EE,Estonia,2015,100.0,1.11836916294213,10638.42,0.01,98.89400000000002,1.01,6.86044026501389,7.296758934739955,
